ID,category,spanish,korean,quiz,answer,answer2,level
27,ser,Yo soy su mejor amigo.,나는 그의 가장 친한 친구이다.,Yo ( ) su mejor amigo.,soy,Soy,하
28,ser,¿Tú eres arquitecto?,너는 건축가니?,¿Tú ( ) arquitecto?,eres,Eres,하
29,ser,Ella es alta y hermosa.,그녀는 키가 크고 아름답다.,Ella ( ) alta y hermosa.,es,Es,하
30,ser,Son las doce y veinte.,12시 20분이다.,( ) las doce y veinte.,son,Son,하
31,estar,Ustedes están cansados.,여러분은 피곤하다.,Ustedes ( ) cansados.,están,Están,하
32,estar,Tú estás ocupado.,너는 바쁘다.,Tú ( ) ocupado.,estás,Estás,하
33,estar,Nosotros estamos en el restaurante.,우리는 식당에 있다.,Nosotros ( ) en el restaurante.,estamos,Estamos,하
34,estar,Ellos están en casa.,그들은 집에 있다.,Ellos ( ) en casa.,están,Están,하
35,estar,Ella está preocupada.,그녀는 걱정하고 있다.,Ella ( ) preocupada.,está,Está,하
36,estar,Yo estoy enfermo.,나는 아프다.,Yo ( ) enfermo.,estoy,Estoy,하
37,estar,Vosotros estáis ocupados.,너희들은 바쁘다.,Vosotros ( ) ocupados.,estáis,Estáis,하
38,estar,Ustedes están listos.,여러분은 준비되어 있다.,Ustedes ( ) listos.,están,Están,하
39,estar,Ellas están ocupadas.,그녀들은 바쁘다.,Ellas ( ) ocupadas.,están,Están,하
40,estar,Tú estás aquí.,너는 여기 있다.,Tú ( ) aquí.,estás,Estás,하
41,estar,Yo estoy aquí.,나는 여기 있다.,Yo ( ) aquí.,estoy,Estoy,하
42,estar,Tú estás en la escuela.,너는 학교에 있다.,Tú ( ) en la escuela.,estás,Estás,하
43,estar,Él está en el parque.,그는 공원에 있다.,Él ( ) en el parque.,está,Está,하
44,estar,Nosotros estamos en clase.,우리는 수업 중이다.,Nosotros ( ) en clase.,estamos,Estamos,하
45,estar,Ella está en la tienda.,그녀는 가게에 있다.,Ella ( ) en la tienda.,está,Está,하
46,estar,Ellos están en el gimnasio.,그들은 헬스장에 있다.,Ellos ( ) en el gimnasio.,están,Están,하
47,estar,Ella está en la biblioteca.,그녀는 도서관에 있다.,Ella ( ) en la biblioteca.,está,Está,하
48,estar,Ellas están felices.,그녀들은 행복하다.,Ellas ( ) felices.,están,Están,하
49,estar,Tú estás contento.,너는 기쁘다.,Tú ( ) contento.,estás,Estás,하
50,estar,Nosotros estamos cansados.,우리는 피곤하다.,Nosotros ( ) cansados.,estamos,Estamos,하
51,estar,Ellos están nerviosos.,그들은 긴장하고 있다.,Ellos ( ) nerviosos.,están,Están,하
52,estar,Vosotras estáis contentas.,너희들(여성)은 기쁘다.,Vosotras ( ) contentas.,estáis,Estáis,하
53,estar,Él está tranquilo.,그는 차분하다.,Él ( ) tranquilo.,está,Está,하
54,estar,Nosotros estamos listas.,우리는 준비되어 있다(여성형).,Nosotros ( ) listas.,estamos,Estamos,하
55,estar,Ella está en la oficina.,그녀는 사무실에 있다.,Ella ( ) en la oficina.,está,Está,하
56,estar,Vosotros estáis en Madrid.,너희들은 마드리드에 있다.,Vosotros ( ) en Madrid.,estáis,Estáis,하
57,estar,Pedro está en el hospital.,페드로는 병원에 있다.,Pedro ( ) en el hospital.,está,Está,하
58,estar,Tú estás en la clase de español.,너는 스페인어 수업에 있다.,Tú ( ) en la clase de español.,estás,Estás,하
59,estar,Tú estás con gripe.,너는 감기에 걸렸다.,Tú ( ) con gripe.,estás,Estás,하
60,estar,¿Cómo está usted?,당신은 어떻게 지내십니까?,¿Cómo ( ) usted?,está,Está,하
61,estar,Ana está en Colombia.,아나는 콜롬비아에 있다.,Ana ( ) en Colombia.,está,Está,하
62,estar,Nosotros estamos en primavera.,우리는 봄을 지내고 있다.,Nosotros ( ) en primavera.,estamos,Estamos,하
63,estar,Ellos están en el primer piso.,그들은 1층에 있다.,Ellos ( ) en el primer piso.,están,Están,하
64,estar,El auto está frente a la casa.,자동차가 집 앞에 있다.,El auto ( ) frente a la casa.,está,Está,하
65,estar,El delfín está nadando.,돌고래가 수영하고 있다.,El delfín ( ) nadando.,está,Está,하
66,estar,Yo estoy aprendiendo español.,나는 스페인어를 배우고 있다.,Yo ( ) aprendiendo español.,estoy,Estoy,하
67,estar,¿Ustedes están esperando el bus?,여러분은 버스를 기다리고 있습니까?,¿Ustedes ( ) esperando el bus?,están,Están,하
68,estar,Nosotros estamos desayunando.,우리는 아침 식사를 하고 있다.,Nosotros ( ) desayunando.,estamos,Estamos,하
69,이름 및 성,¿Cómo te llamas?,너 이름이 뭐야? (1),¿Cómo te ( )?,llamas,Llamas,하
70,이름 및 성,¿Cuál es tu nombre?,너 이름이 뭐야? (2),¿Cuál es tu ()?,nombre,Nombre,하
71,이름 및 성,Mi nombre es Carlos.,내 이름은 카를로스야.,Mi () es Carlos.,nombre,Nombres,하
72,이름 및 성,Yo soy Ana,내 이름은 아나야,Yo () Ana.,soy,Soy,하
73,이름 및 성,Me llamo Sofía.,내 이름은 소피아야.,Me ( ) Sofía.,llamo,Llamo,하
74,이름 및 성,¿Cuál es tu apellido?,너 성이 뭐야?,¿Cuál es tu ( )?,apellido,Apellido,중
75,이름 및 성,Mi apellido es Gómez.,나의 성은 고메스야.,Mi () es Gómez.,apellido,Apellido,중
76,상태 및 기분,Yo estoy contento.,나는 기쁘다. (남성),Yo estoy ( ). (él),contento,Contento,중
77,상태 및 기분,Yo estoy contenta.,나는 기쁘다. (여성),Yo estoy ( ). (ella),contenta,Contenta,중
78,상태 및 기분,Vosotras estáis contentas.,너희들은 기쁘다. (여성 복수),Vosotras estáis ( ). (ellas),contentas,Contentas,상
79,상태 및 기분,Yo estoy cansado.,나는 피곤하다. (남성),Yo estoy ( ). (él),cansado,Cansado,중
80,상태 및 기분,Yo estoy cansada.,나는 피곤하다. (여성),Yo estoy ( ). (ella),cansada,Cansada,중
81,상태 및 기분,Nosotros estamos cansados.,우리는 피곤하다. ,Nosotros estamos ( ).,cansados,Cansados,중
82,상태 및 기분,Ustedes están cansados.,당신들은 피곤하십니다.,Ustedes están ( ).,cansados,Cansados,중
83,상태 및 기분,Yo estoy enfermo.,나는 아프다. (남성),Yo estoy ( ). (él),enfermo,Enfermo,상
84,상태 및 기분,Yo estoy enferma.,나는 아프다. (여성),Yo estoy ( ). (ella),enferma,Enferma,상
85,상태 및 기분,Ellos están enfermos.,그들은 아프다.,Ellos están ( ).,enfermos,Enfermos,상
86,상태 및 기분,Tú estás ocupado.,너는 바쁘다. (남성),Tú estás ( ). (él),ocupado,Ocupado,상
87,상태 및 기분,Ella está ocupada.,그녀는 바쁘다.,Ella está ( ).,ocupada,Ocupada,상
88,상태 및 기분,Vosotros estáis ocupados.,너희들은 바쁘다.,Vosotros estáis ( ).,ocupados,Ocupados,상
89,상태 및 기분,Ellas están ocupadas.,그녀들은 바쁘다.,Ellas están ( ).,ocupadas,Ocupadas,상
90,상태 및 기분,Juan y Pedro están ocupados.,후안과 페드로는 바쁘다.,Juan y Pedro están ( ).,ocupados,Ocupados,상
91,상태 및 기분,Ella está preocupada.,그녀는 걱정하고 있다.,Ella está ( ).,preocupada,Preocupada,상
92,상태 및 기분,Ustedes están listos.,당신들은 준비되었습니다. ,Ustedes están ( ).,listos,Listos,상
93,상태 및 기분,Nosotros estamos listas.,우리는 준비되었습니다. ,Nosotros estamos ( ).,listas,Listas,상
94,상태 및 기분,Él está nervioso.,그는 긴장한다.,Él está ( ).,nervioso,Nervioso,상
95,상태 및 기분,Ellos están nerviosos.,그들은 긴장했다.,Ellos están ( ).,nerviosos,Nerviosos,상
96,상태 및 기분,Él está tranquilo.,그는 차분하다.,Él está ( ).,tranquilo,Tranquilo,상
97,상태 및 기분,Ella está feliz.,그녀는 행복하다. ,Ella está ( ).,feliz,Feliz,상
98,상태 및 기분,Ellas están felices.,그녀들은 행복하다. ,Ellas están ( ).,felices,Felices,상
99,상태 및 기분,Yo estoy triste.,나는 슬프다. ,Yo estoy ( ).,triste,Triste,중
100,상태 및 기분,Yo estoy bien.,나는 잘 지내. ,Yo estoy ( ).,bien,Bien,중
101,상태 및 기분,Yo estoy mal.,나는 안 좋게 지내.,Yo estoy ( ).,mal,Mal,중
102,상태 및 기분,Yo tengo hambre.,나는 배가 고프다.,Yo tengo ( ).,hambre,Hambre,중
103,상태 및 기분,Tú tienes sed.,너는 목이 마르다.,Tú tienes ( ).,sed,Sed,중
104,상태 및 기분,Él tiene sueño.,그는 졸리다.,Él tiene ( ).,sueño,Sueño,중
105,상태 및 기분,Nosotros tenemos frío.,우리는 춥다.,Nosotros tenemos ( ).,frío,Frío,중
106,상태 및 기분,Vosotros tenéis calor.,너희들은 덥다.,Vosotros tenéis ( ).,calor,Calor,중
107,상태 및 기분,Ella tiene miedo.,그녀는 무섭다. (두려워하다),Ella tiene ( ).,miedo,Miedo,상
108,상태 및 기분,Yo estoy alegre,나는 기뻐,Yo estoy (),alegre,Alegre,중
109,현재진행형,Yo estoy comiendo ahora.,나는 지금 먹는 중이다.,Yo estoy ( ) ahora. (comer),comiendo,Comiendo,중
110,현재진행형,Tú estás escuchando música.,너는 음악을 듣는 중이다.,Tú estás ( ) música. (escuchar),escuchando,Escuchando,중
111,현재진행형,Él está comprando un libro.,그는 책을 사는 중이다.,Él está ( ) un libro. (comprar),comprando,Comprando,중
112,현재진행형,Nosotros estamos caminando en el parque.,우리는 공원에서 걷는 중이다.,Nosotros estamos ( ) en el parque. (caminar),caminando,Caminando,중
113,현재진행형,Ellos están descansando en casa ahora.,그들은 지금 집에서 쉬는 중이다.,Ellos están ( ) en casa ahora. (descansar),descansando,Descansando,중
114,현재진행형,Ella está mirando la televisión.,그녀는 TV를 보는 중이다.,Ella está ( ) la televisión. (mirar),mirando,Mirando,중
115,현재진행형,Ustedes están estudiando español.,당신들은 스페인어를 공부하는 중이다.,Ustedes están ( ) español. (estudiar),estudiando,Estudiando,중
116,현재진행형,Yo estoy hablando con mi amigo.,나는 친구와 이야기하는 중이다.,Yo estoy ( ) con mi amigo. (hablar),hablando,Hablando,중
117,현재진행형,Tú estás bebiendo agua.,너는 물을 마시는 중이다.,Tú estás ( ) agua. (beber),bebiendo,Bebiendo,중
118,현재진행형,Ellas están escribiendo en la clase.,그녀들은 수업에서 글을 쓰는 중이다.,Ellas están ( ) en la clase. (escribir),escribiendo,Escribiendo,중
119,현재진행형,Él está trabajando en la oficina.,그는 사무실에서 일하는 중이다.,Él está ( ) en la oficina. (trabajar),trabajando,Trabajando,중
120,현재진행형,Nosotros estamos cantando una canción.,우리는 노래를 부르는 중이다.,Nosotros estamos ( ) una canción. (cantar),cantando,Cantando,중
121,현재진행형,Ellos están practicando fútbol.,그들은 축구를 연습하는 중이다.,Ellos están ( ) fútbol. (practicar),practicando,Practicando,중
122,현재진행형,Yo estoy cerrando la puerta.,나는 문을 닫는 중이다.,Yo estoy ( ) la puerta. (cerrar),cerrando,Cerrando,중
123,현재진행형,Yo estoy jugando con mis amigos.,나는 친구들과 노는 중이다.,Yo estoy ( ) con mis amigos. (jugar),jugando,Jugando,중
124,성격 및 외모,Yo soy alto.,나는 키가 크다. (남성),Yo soy ( ). (él),alto,Alto,중
125,성격 및 외모,Yo soy alta.,나는 키가 크다. (여성),Yo soy ( ). (ella),alta,Alta,중
126,성격 및 외모,Tú eres delgado.,너는 날씬하다. (남성),Tú eres ( ). (él),delgado,Delgado,중
127,성격 및 외모,Tú eres delgada.,너는 날씬하다. (여성),Tú eres ( ). (ella),delgada,Delgadas,중
128,성격 및 외모,Él es simpático.,그는 상냥하다. (친절하다),Él es ( ).,simpático,Simpáticos,중
129,성격 및 외모,Ella es simpática.,그녀는 상냥하다. (친절하다),Ella es ( ).,simpática,Simpática,중
130,성격 및 외모,Ellos son inteligentes.,그들은 똑똑하다.,Ellos son ( ).,inteligentes,Inteligentes,상
131,성격 및 외모,Él es bajo.,그는 키가 작다.,Él es ( ).,bajo,Bajo,중
132,성격 및 외모,Ella es baja.,그녀는 키가 작다.,Ella es ( ).,baja,Baja,중
133,성격 및 외모,Nosotros somos gordos.,우리는 뚱뚱하다. ,Nosotros somos ( ).,gordos,Gordos,상
134,성격 및 외모,Vosotros sois guapos.,너희들은 잘생겼다. ,Vosotros sois ( ).,guapos,Guapos,상
135,성격 및 외모,Ellas son feas.,그녀들은 못생겼다. (여성 복수),Ellas son ( ). (ellas),feas,Feas,상
136,성격 및 외모,Tú eres antipático.,"너는 심술궂다. (불친절하다, 남성)",Tú eres ( ). (él),antipático,Antipático,중
137,성격 및 외모,Yo soy trabajadora.,나는 성실하다. (여성),Yo soy ( ). (ella),trabajadora,Trabajadora,상
138,성격 및 외모,Ellos son trabajadores,그들은 성실하다. ,Ellos son ( ).,trabajadores,Trabajadores,상
139,"국적, 국적형용사",¿De dónde eres?,너 국적이 뭐야? (1),¿De () eres?,dónde,Dónde,중
140,"국적, 국적형용사",¿Cuál es tu nacionalidad?,너 국적이 뭐야? (2),¿Cuál es tu ()?,nacionalidad,Nacionalidad,중
141,"국적, 국적형용사",Yo soy coreano.,나는 한국인이다. (남성),Yo soy ( ). (él),coreano,Coreano,중
142,"국적, 국적형용사",Yo soy coreana.,나는 한국인이다. (여성),Yo soy ( ). (ella),coreana,Coreana,중
143,"국적, 국적형용사",Tú eres español.,너는 스페인인이다. (남성),Tú eres ( ). (él),español,Español,중
144,"국적, 국적형용사",Tú eres española.,너는 스페인인이다. (여성),Tú eres ( ). (ella),española,Española,중
145,"국적, 국적형용사",Él es mexicano.,그는 멕시코인이다.,Él es ( ).,mexicano,Mexicano,중
146,"국적, 국적형용사",Ella es mexicana.,그녀는 멕시코인이다.,Ella es ( ).,mexicana,Mexicana,중
147,"국적, 국적형용사",Nosotros somos coreanos.,우리는 한국인이다. ,Nosotros somos ( ).,coreanos,Coreanos,상
148,"국적, 국적형용사",Nosotras somos españolas.,우리는 스페인인이다. ,Nosotras somos ( ).,españolas,Españolas,상
149,"국적, 국적형용사",Ellos son mexicanos.,그들은 멕시코인이다. ,Ellos son ( ).,mexicanos,Mexicanos,상
150,"국적, 국적형용사",Él es alemán.,그는 독일인이다.,Él es ( ).,alemán,Alemán,중
151,"국적, 국적형용사",Ella es alemana.,그녀는 독일인이다.,Ella es ( ).,alemana,Alemana,중
152,"국적, 국적형용사",Él es argentino.,그는 아르헨티나인이다.,Él es ( ).,argentino,Argentino,중
153,"국적, 국적형용사",Ella es argentina.,그녀는 아르헨티나인이다.,Ella es ( ).,argentina,Argentina,중
154,"국적, 국적형용사",Tú eres chino.,너는 중국인이다. (남성),Tú eres ( ). (él),chino,Chino,중
155,"국적, 국적형용사",Tú eres china.,너는 중국인이다. (여성),Tú eres ( ). (ella),china,China,중
156,"국적, 국적형용사",Yo soy estadounidense.,나는 미국인이다.,Yo soy ( ).,estadounidense,Estadounidense,중
157,"국적, 국적형용사",Nosotros somos estadounidenses.,우리는 미국인이다. ,Nosotros somos ( ).,estadounidenses,Estadounidenses,상
158,"국적, 국적형용사",Él es inglés.,그는 영국인이다.,Él es ( ).,inglés,Inglés,중
159,"국적, 국적형용사",Ella es inglesa.,그녀는 영국인이다. ,Ella es ( ).,inglesa,Inglesa,중
160,"국적, 국적형용사",Yo soy japonés.,나는 일본인이다. (남성),Yo soy ( ). (él),japonés,Japonés,중
161,"국적, 국적형용사",Yo soy japonesa.,나는 일본인이다. (여성),Yo soy ( ). (ella),japonesa,Japonesa,중
162,"국적, 국적형용사",Él es colombiano.,그는 콜롬비아인이다.,Él es ( ).,colombiano,Colombiano,중
163,"국적, 국적형용사",Ellas son colombianas.,그녀들은 콜롬비아인이다. ,Ellas son ( ).,colombianas,Colombianas,상
164,"국적, 국적형용사",Tú eres cubano.,너는 쿠바인이다. (남성),Tú eres ( ). (él),cubano,Cubano,중
165,"국적, 국적형용사",Tú eres cubana.,너는 쿠바인이다. (여성),Tú eres ( ). (ella),cubana,Cubana,중
166,"국적, 국적형용사",Ellos son peruanos.,그들은 페루인이다.,Ellos son ( ).,peruanos,Peruanos,상
167,"국적, 국적형용사",Ellas son peruanas.,그녀들은 페루인이다.,Ellas son ( ).,peruanas,Peruanas,상
168,"국적, 국적형용사",Yo soy de Corea.,나는 한국 출신이다. ,Yo soy de ( ).,Corea,Corea,중
169,"국적, 국적형용사",Tú eres de España.,너는 스페인 출신이다.,Tú eres de ( ).,España,España,중
170,"국적, 국적형용사",Él es de México.,그는 멕시코 출신이다.,Él es de ( ).,México,México,중
171,"국적, 국적형용사",Nosotros somos de Corea.,우리는 한국 출신이다.,Nosotros somos de ( ).,Corea,Corea,중
172,"국적, 국적형용사",Vosotros sois de España.,너희들은 스페인 출신이다.,Vosotros sois de ( ).,España,España,중
173,"국적, 국적형용사",Ellos son de México.,그들은 멕시코 출신이다.,Ellos son de ( ).,México,México,중
174,가족 관계,Carmen es mi esposa.,Carmen은 내 아내야.,Carmen es mi ( ).,esposa,Esposa,중
175,가족 관계,Pilar es mi prima.,Pilar는 내 사촌이야.,Pilar es mi ( ).,prima,Prima,중
176,가족 관계,Pablo es mi abuelo.,Pablo는 내 할아버지야.,Pablo es mi ( ).,abuelo,Abuelo,중
177,가족 관계,Carlos es mi tío.,Carlos는 내 삼촌이야.,Carlos es mi ( ).,tío,Tío,중
178,가족 관계,Carlos es mi esposo.,Carlos는 내 남편이야.,Carlos es mi ( ).,esposo,Esposo,중
179,가족 관계,Luis es mi hijo.,Luis는 내 아들이야.,Luis es mi ( ).,hijo,Hijo,중
180,가족 관계,Pilar es mi hija.,Pilar는 내 딸이야.,Pilar es mi ( ).,hija,Hija,중
181,가족 관계,Pablo es mi suegro.,Pablo는 내 시아버지야.,Pablo es mi ( ).,suegro,Suegro,중
182,가족 관계,Carmen es mi suegra.,Carmen은 내 시어머니야.,Carmen es mi ( ).,suegra,Suegra,중
183,가족 관계,Luis es mi hermano.,Luis는 내 형제이다.,Luis es mi ( ).,hermano,Hermano,중
184,가족 관계,Pilar es mi hermana.,Pilar는 내 여동생이다.,Pilar es mi ( ).,hermana,Hermana,중
185,가족 관계,Carlos es mi padre.,Carlos는 내 아버지이다.,Carlos es mi ( ).,padre,Padre,중
186,가족 관계,Teresa es mi madre.,Teresa는 내 어머니이다.,Teresa es mi ( ).,madre,Madre,중
187,가족 관계,Antonio y Rosa son mis padres.,Antonio와 Rosa는 내 부모님이다.,Antonio y Rosa son mis ().,padres,Padres,중
188,가족 관계,Marta es mi prima.,Marta는 내 사촌이다.,Marta es mi ( ).,prima,Prima,중
189,가족 관계,Juan es mi primo.,Juan은 내 사촌이다.,Juan es mi ( ).,primo,Primo,중
190,가족 관계,Clara es mi hermana.,Clara는 내 여동생이다.,Clara es mi ( ).,hermana,Hermana,중
191,가족 관계,Carlos es su esposo.,Carlos는 그녀의 남편이다.,Carlos es su ().,esposo,Esposo,중
192,가족 관계,Teresa es su esposa.,Teresa는 그의 아내이다.,Teresa es su ().,esposa,Esposa,중
193,가족 관계,Luis es su hijo.,Luis는 그녀의 아들이다.,Luis es su ().,hijo,Hijo,중
194,가족 관계,Pilar es su hija.,Pilar는 그의 딸이다.,Pilar es su ().,hija,Hija,중
195,가족 관계,Marta y Clara son mis primas.,Marta와 Clara는 나의 사촌들이다.,Marta y Clara son mis ( ).,primas,Primas,중
196,가족 관계,Pablo y Carmen son nuestros abuelos.,Pablo와 Carmen은 우리의 조부모님이다.,Pablo y Carmen son nuestros ().,abuelos,Abuelos,중
197,가족 관계,Luis y Pilar son sus hijos.,Luis와 Pilar는 그들의 자녀들이다.,Luis y Pilar son sus ( ).,hijos,Hijos,중
198,가족 관계,Antonio es tu padre.,Antonio는 너의 아버지이다.,Antonio es tu ().,padre,Padre,중
199,가족 관계,Rosa es tu madre.,Rosa는 너의 어머니이다.,Rosa es tu ().,madre,Madre,중
200,가족 관계,Marta y Juan son tus primos.,Marta와 Juan은 너의 사촌들이다.,Marta y Juan son tus ().,primos,Primos,중
201,가족 관계,Teresa es mi madre.,Teresa는 내 엄마/어머니야.,Teresa es mi ( ).,madre,Madre,중
202,가족 관계,Rosa es mi tía.,Rosa는 내 고모야.,Rosa es mi ( ).,tía,Tía,중
203,가족 관계,Carlos y Teresa son mis padres.,Carlos와 Teresa는 내 부모님이야.,Carlos y Teresa son mis ( ).,padres,Padres,중
204,가족 관계,Carlos es mi padre y Antonio es mi tío.,Carlos는 내 아빠고 Antonio는 내 고모부야.,Carlos es mi padre y Antonio es mi ( ).,tío,Tío,중
205,가족 관계,Pablo es el padre de mi padre.,Pablo는 내 아빠의 아빠야.,Pablo es el padre de mi ( ).,padre,Padre,중
206,가족 관계,Juan es el hijo de mis tíos.,Juan은 우리 고모네 아해야.,Juan es el hijo de mis ().,tíos,Tíos,중
207,가족 관계,Rosa es la madre de mis primos.,Rosa는 내 사촌들의 어머니야.,Rosa es la madre de mis ( ).,primos,Primos,중
208,가족 관계,Juan es mi hijo.,Juan은 나의 아들이야.,Juan es mi ( ).,hijo,Hijo,중
209,가족 관계,Marta es mi hija.,Marta는 나의 딸이야.,Marta es mi ( ).,hija,Hija,중
210,가족 관계,Carmen es mi suegra.,Carmen은 내 장모님이야.,Carmen es mi ( ).,suegra,Suegra,중
211,생일,¿Cuándo es tu cumpleaños?,너 생일이 언제야?,¿Cuándo es tu ( )?,cumpleaños,Cumpleaños,중
212,생일,Mi cumpleaños es el cinco de mayo.,내 생일은 5월 5일이야.,Mi cumpleaños es el ( ).,cinco de mayo,Cinco de mayo,중
213,생일,Mi cumpleaños es el doce de julio.,내 생일은 7월 12일이야.,Mi cumpleaños es el ( ).,doce de julio,Doce de julio,중
214,생일,Mi cumpleaños es el dos de enero.,내 생일은 1월 2일이야.,Mi cumpleaños es el ( ).,dos de enero,Dos de enero,중
215,생일,Mi cumpleaños es el treinta de agosto.,내 생일은 8월 30일이야.,Mi cumpleaños es el ( ).,treinta de agosto,Treinta de agosto,중
216,생일,Mi cumpleaños es el veinticuatro de octubre.,내 생일은 10월 24일이야.,Mi cumpleaños es el ( ).,veinticuatro de octubre,Veinticuatro de octubre,중
217,생일,El veinte de noviembre es el cumpleaños de Carlos.,11월 20일은 Carlos의 생일이야.,El ( ) es el cumpleaños de Carlos.,veinte de noviembre,Veinte de noviembre,중
218,생일,El quince de septiembre es el cumpleaños de Sofía.,9월 15일은 Sofía의 생일이야.,El ( ) es el cumpleaños de Sofía.,quince de septiembre,Quince de septiembre,중
219,생일,El ocho de abril es el cumpleaños de Juan.,4월 8일은 Juan의 생일이야.,El ( ) es el cumpleaños de Juan.,ocho de abril,Ocho de abril,중
220,시간,¿Qué hora es?,지금 몇 시야?,¿Qué ( ) es?,hora,Hora,중
221,시간,Son las ocho de la mañana.,아침 8시이다.,Son las ocho de la ( ).,mañana,Mañana,중
222,시간,Son las tres de la tarde.,오후 3시이다.,Son las tres de la ( ).,tarde,Tarde,중
223,시간,Son las diez de la mañana.,오전 10시이다.,Son las diez de la ( ).,mañana,Mañana,중
224,시간,Son las cinco de la tarde.,오후 5시이다.,Son las cinco de la ( ).,tarde,Tarde,중
225,시간,Es la una en punto.,정각 1시이다.,Es la ( ) en punto.,una,Una,중
226,시간,Son las cinco menos cuarto.,4시 45분이다.,Son las ( ) menos cuarto.,cinco,Cinco,하
227,시간,Son las once y media.,11시 30분이다.,Son las ( ) y media.,once,Once,하
228,시간,Son las dos y diez.,2시 10분이다.,Son las dos ( ).,y diez,Y diez,하
229,시간,Son las seis y veinte.,6시 20분이다. ,Son las seis ( ).,y veinte,Y veinte,하
230,시간,Son las cinco y cuarto.,5시 15분이다.,Son las cinco ( ).,y cuarto,Y cuarto,하
231,시간,Son las nueve y media.,9시 30분이다.,Son las nueve ( ).,y media,Y media,중
232,시간,Son las ocho menos diez.,7시 50분이다.,Son las ocho ( ).,menos diez,Menos diez,중
233,시간,Son las tres menos cuarto.,2시 45분이다.,Son las tres ( ).,menos cuarto,Menos cuarto,중
234,시간,Son las ocho menos veinte.,7시 40분이다.,Son las ocho ( ).,menos veinte,Menos veinte,중
235,요일 및 날짜,¿Qué fecha es hoy?,오늘은 몇 월 며칠입니까?,¿Qué ( ) es hoy?,fecha,Fecha,중
236,요일 및 날짜,¿Qué día es hoy?,오늘은 무슨 요일입니까?,¿Qué ( ) es hoy?,día,Día,중
237,요일 및 날짜,Hoy es lunes.,오늘은 월요일입니다.,Hoy es ( ).,lunes,Lunes,중
238,요일 및 날짜,Hoy es martes.,오늘은 화요일입니다.,Hoy es ( ).,martes,Martes,중
239,요일 및 날짜,Hoy es miércoles.,오늘은 수요일입니다.,Hoy es ( ).,miércoles,Miércoles,중
240,요일 및 날짜,Hoy es jueves.,오늘은 목요일입니다.,Hoy es ( ).,jueves,Jueves,중
241,요일 및 날짜,Hoy es viernes.,오늘은 금요일입니다.,Hoy es ( ).,viernes,Viernes,중
242,요일 및 날짜,Hoy es sábado.,오늘은 토요일입니다. ,Hoy es ( ).,sábado,Sábado,중
243,요일 및 날짜,Hoy es domingo.,오늘은 일요일입니다.,Hoy es ( ).,domingo,Domingo,중
